MSE,MAE
5216.504833984375,51.6177781759277
4690.366235351563,49.38032684005052
4979.761328125,53.16016153112798
15547.00126953125,81.46429705209285
104445.55546875,139.38935357964039
4686.325463867188,53.093195583462716
2371759.037402344,477.4836583494507
4746.729931640625,52.84294241607189
4764.40654296875,57.49692985846102
3581.5395263671876,49.32437331074476
4031.5049072265624,50.03319218372908
4458.748193359375,49.03794791370209
5126.0399169921875,49.70799451727349
6044.405322265625,56.843205797915246
4737.58134765625,49.48923167555368
4963.18037109375,51.81325680474989
4913.51015625,48.325807167389314
4654.492028808594,46.1334949333331
4955.097412109375,45.4214693724051
5091.843115234375,46.26432088921526
6657.1541015625,63.24381842264322
5439.126953125,50.24102135779661
5220.585864257812,47.16334598837136
4836.121142578125,46.706233626298626
5222.377514648438,47.17232339332638
