epoch,fold,MSE,MAE
10,0,3309.845458984375,46.57175372945565
10,1,3537.9638671875,48.71190959565895
10,2,9516.9111328125,64.56341485777119
10,3,898.3988647460938,25.893292451516174
10,4,4175.203125,50.13974489905503
20,0,3823.0419921875,48.845608635791464
20,1,4407.24853515625,57.56795690312031
20,2,16684.169921875,90.88339644146839
20,3,1313.9351806640625,29.589206945104554
20,4,10383.5986328125,68.7135407590772
50,0,2721.89794921875,40.293656217329875
50,1,2749.224853515625,51.9141784380487
50,2,11984.896484375,72.70817222640673
50,3,1029.059814453125,25.861983533128164
50,4,7079.3896484375,57.68410436578834
100,0,3204.6201171875,46.58533937928563
100,1,4709.90625,61.440967072318216
100,2,16754.73046875,85.45039859184853
100,3,1012.3032836914062,28.24953741967717
100,4,8394.75,64.40386223648035
500,0,5709.4677734375,64.0878440157549
500,1,6318.8974609375,66.59517645373461
500,2,813491.0,581.8940224330885
500,3,1527.4971923828125,34.342945760994034
500,4,8751.2431640625,64.27256280195549
1000,0,28627.4140625,107.97321029366982
1000,1,27154.169921875,116.72861898705648
1000,2,19161.248046875,88.7971935891384
1000,3,1151.383056640625,30.87108809692463
1000,4,22407.923828125,99.76105095711607
